Entrypoint,SA_Vuln,Count,Review_Spec_IDs,Notes
floatformat_from_double,floatformat.c:614,2,130_floatformat.c_614_local.oob.memfunc.length-misuse.maxcover.v5; 132_floatformat.c_614_local_cpp_cwe-120-overflow,
get_history_word_specifier,histexpand.c:1303,1,010_histexpand.c_1303_cpp_unbounded-write,
glue_prefix_and_suffix,tilde.c:327,1,017_tilde.c_327_cpp_unbounded-write,
history_arg_extract,histexpand.c:1425,1,009_histexpand.c_1425_cpp_unbounded-write,
history_do_write,histfile.c:731,1,019_histfile.c_731_cpp_unbounded-write,
history_expand,histexpand.c:583,1,011_histexpand.c_583_cpp_unbounded-write,
history_filename,histfile.c:169,1,027_histfile.c_169_cpp_unbounded-write,
if,make-relative-prefix.c:110,1,149_make-relative-prefix.c_110_local_cpp_cwe-120-overflow,Check Planner (Hallucination)
if,chew.c:233,2,036_chew.c_233_local.oob.memfunc.length-misuse.maxcover.v5; 055_chew.c_233_local_cpp_cwe-120-overflow,Check Planner (Hallucination)
make_relative_prefix,make-relative-prefix.c:381,1,003_make-relative-prefix.c_381_cpp_unbounded-write,
make_relative_prefix,make-relative-prefix.c:277,1,145_make-relative-prefix.c_277_local_cpp_cwe-120-overflow,
mdir_name,dirname-lgpl.c:81,2,045_dirname-lgpl.c_81_local.oob.memfunc.length-misuse.maxcover.v5; 059_dirname-lgpl.c_81_local_cpp_cwe-120-overflow,
partition_print,partition.c:150,2,141_partition.c_150_local.oob.memfunc.length-misuse.maxcover.v5; 147_partition.c_150_local_cpp_cwe-120-overflow,
pex_get_status,pex-common.c:560,1,144_pex-common.c_560_local.oob.memfunc.length-misuse.maxcover.v5,
pex_get_status,pex-common.c:564,1,145_pex-common.c_564_local.oob.memfunc.length-misuse.maxcover.v5,
pex_get_times,pex-common.c:593,1,143_pex-common.c_593_local.oob.memfunc.length-misuse.maxcover.v5,
pex_get_times,pex-common.c:588,1,142_pex-common.c_588_local.oob.memfunc.length-misuse.maxcover.v5,
readline,readline.c:495,1,037_readline.c_495_cpp_unbounded-write,
readline_internal_teardown,readline.c:470,1,036_readline.c_470_cpp_unbounded-write,
replace_history_entry,history.c:391,1,006_history.c_391_cpp_unbounded-write,
rl_complete,complete.c:1394,1,035_complete.c_1394_cpp_unbounded-write,
rl_complete_internal,complete.c:1995,1,020_complete.c_1995_cpp_unbounded-write,
rl_display_search,isearch.c:190,1,030_isearch.c_190_cpp_unbounded-write,
rl_execute_next,macro.c:302,1,013_macro.c_302_cpp_unbounded-write,
rl_filename_completion_function,complete.c:2448,1,012_complete.c_2448_cpp_unbounded-write,
rl_function_dumper,bind.c:2680,1,000_bind.c_2680_cpp_offset-use-before-range-check,
rl_kill_text,kill.c:143,1,024_kill.c_143_cpp_unbounded-write,
rl_kill_text,kill.c:144,1,025_kill.c_144_cpp_unbounded-write,
rl_kill_text,kill.c:139,1,023_kill.c_139_cpp_unbounded-write,
rl_maybe_save_line,misc.c:376,1,034_misc.c_376_cpp_unbounded-write,
rl_noninc_forward_search,search.c:344,1,021_search.c_344_cpp_unbounded-write,
rl_quote_filename,complete.c:1043,1,038_complete.c_1043_cpp_unbounded-write,
rl_read_init_file,bind.c:974,1,033_bind.c_974_cpp_unbounded-write,
rl_replace_line,text.c:211,1,039_text.c_211_cpp_unbounded-write,
rl_reverse_search_history,isearch.c:234,1,029_isearch.c_234_cpp_unbounded-write,
rl_vi_match,mode.c:1884,1,001_vi_mode.c_1884_cpp_offset-use-before-range-check,
rust_demangle_sym,rust-demangle.c:340,1,149_rust-demangle.c_340_local.oob.memfunc.length-misuse.maxcover.v5,
strerror_r,r.c:136,1,064_strerror_r.c_136_local_cpp_cwe-120-overflow,
strerror_r,strerror_r.c:136,1,047_strerror_r.c_136_local.oob.memfunc.length-misuse.maxcover.v5,
string_append,d-demangle.c:122,1,152_d-demangle.c_122_local_cpp_cwe-120-overflow,
string_appendn,d-demangle.c:132,1,151_d-demangle.c_132_local_cpp_cwe-120-overflow,
string_prependn,d-demangle.c:149,1,150_d-demangle.c_149_local_cpp_cwe-120-overflow,
strnlen1,strnlen1.c:30,1,046_strnlen1.c_30_local.oob.memfunc.length-misuse.maxcover.v5,
tilde_expand,tilde.c:251,1,018_tilde.c_251_cpp_unbounded-write,
tilde_expand_word,tilde.c:346,1,016_tilde.c_346_cpp_unbounded-write,
vconcat_copy,concat.c:79,1,059_concat.c_79_local.oob.memfunc.length-misuse.maxcover.v5,
